what;0
doctor;0
treats;0
aarskog;0
scott;0
syndrome;0
can;1
aarskog;1
scott;1
syndrome;1
be;1
prevented;1
is;2
there;2
a;2
role;2
for;2
genetic;2
counselling;2
in;2
preventing;2
aarskog;2
scott;2
syndrome;2
which;3
doctor;3
should;3
i;3
visit;3
in;3
case;3
i;3
wish;3
to;3
undergo;3
an;3
abortion;3
which;4
is;4
better;4
medical;4
abortion;4
or;4
surgical;4
abortion;4
how;5
do;5
i;5
know;5
that;5
the;5
fetus;5
is;5
completely;5
aborted;5
after;5
a;5
medical;5
abortion;5
which;6
specialist;6
should;6
i;6
see;6
if;6
i;6
have;6
acute;6
bronchitis;6
how;7
do;7
people;7
get;7
acute;7
bronchitis;7
what;8
are;8
the;8
other;8
problems;8
that;8
occur;8
along;8
with;8
acute;8
bronchitis;8
who;9
is;9
the;9
doctor;9
who;9
treats;9
all;9
acute;9
lymphoblastic;9
leukemia;9
what;10
kind;10
of;10
diet;10
is;10
recommended;10
for;10
all;10
patients;10
what;11
are;11
the;11
other;11
precautions;11
to;11
be;11
taken;11
acute;11
lymphoblastic;11
leukemia;11
what;12
are;12
the;12
long;12
term;12
effects;12
of;12
radiation;12
how;13
does;13
potassium;13
iodide;13
help;13
in;13
radiation;13
acute;13
radiation;13
syndrome;13
how;14
is;14
internal;14
contamination;14
treated;14
acute;14
radiation;14
syndrome;14
what;15
is;15
depression;15
what;16
causes;16
clinical;16
depression;16
how;17
common;17
adolescent;17
depression;17
adolescent;18
depression;18
serious;18
are;19
all;19
depressive;19
disorders;19
alike;19
